date,type,exercise,set_no,weight_kg,reps,rir,notes
2026-06-15,strength,incline_chest_press_machine,1,55,10,2,
2026-06-15,strength,incline_chest_press_machine,2,55,9,1,
2026-06-15,strength,incline_chest_press_machine,3,55,8,0,
2026-06-15,strength,standing_chest_press_machine,1,60,10,2,
2026-06-15,strength,standing_chest_press_machine,2,60,9,1,
2026-06-15,strength,standing_chest_press_machine,3,60,8,0,
2026-06-15,strength,lateral_raise_machine,1,30,14,2,
2026-06-15,strength,lateral_raise_machine,2,30,13,1,
2026-06-15,strength,lateral_raise_machine,3,30,12,0,
2026-06-15,strength,dip_machine,1,45,12,2,
2026-06-15,strength,dip_machine,2,45,11,1,
2026-06-15,strength,overhead_triceps_machine,1,35,12,2,
2026-06-15,strength,overhead_triceps_machine,2,35,11,1,
2026-06-16,strength,pullup,1,0,7,2,
2026-06-16,strength,pullup,2,0,6,1,
2026-06-16,strength,pullup,3,0,5,0,
2026-06-16,strength,overhead_press,1,45,7,2,
2026-06-16,strength,overhead_press,2,45,6,1,
2026-06-16,strength,overhead_press,3,45,5,1,
2026-06-16,strength,face_pull,1,22.5,14,2,
2026-06-16,strength,face_pull,2,22.5,13,1,
2026-06-16,strength,face_pull,3,22.5,12,1,
2026-06-16,strength,barbell_curl,1,30,10,2,
2026-06-16,strength,barbell_curl,2,30,9,1,
2026-06-17,strength,romanian_deadlift,1,80,8,2,
2026-06-17,strength,romanian_deadlift,2,80,7,1,
2026-06-17,strength,romanian_deadlift,3,80,6,0,
2026-06-17,strength,hanging_leg_raise,1,0,12,2,
2026-06-17,strength,hanging_leg_raise,2,0,11,1,
2026-06-17,strength,hanging_leg_raise,3,0,10,0,
2026-06-17,strength,lateral_raise,1,10,14,2,
2026-06-17,strength,lateral_raise,2,10,13,1,
2026-06-17,strength,lateral_raise,3,10,12,0,
2026-06-17,strength,chest_supported_row,1,55,10,2,
2026-06-17,strength,chest_supported_row,2,55,9,1,
2026-06-18,strength,bench_press,1,75,8,2,
2026-06-18,strength,bench_press,2,75,7,1,
2026-06-18,strength,bench_press,3,75,6,0,
2026-06-18,strength,pullup,1,0,7,2,
2026-06-18,strength,pullup,2,0,6,1,
2026-06-18,strength,pullup,3,0,5,0,
2026-06-18,strength,triceps_pushdown,1,27.5,12,2,
2026-06-18,strength,triceps_pushdown,2,27.5,11,1,
2026-06-18,strength,barbell_curl,1,30,11,2,
2026-06-18,strength,barbell_curl,2,30,10,1,
2026-06-19,strength,overhead_press,1,45,7,2,
2026-06-19,strength,overhead_press,2,45,6,1,
2026-06-19,strength,overhead_press,3,45,5,0,
2026-06-19,strength,lateral_raise,1,10,14,2,
2026-06-19,strength,lateral_raise,2,10,13,1,
2026-06-19,strength,lateral_raise,3,10,12,0,
2026-06-19,strength,face_pull,1,22.5,14,2,
2026-06-19,strength,face_pull,2,22.5,13,1,
2026-06-19,strength,face_pull,3,22.5,12,0,
2026-06-19,strength,hanging_leg_raise,1,0,12,2,
2026-06-19,strength,hanging_leg_raise,2,0,11,1,
2026-06-20,strength,chest_supported_row,1,55,10,2,
2026-06-20,strength,chest_supported_row,2,55,9,1,
2026-06-20,strength,chest_supported_row,3,55,8,0,
2026-06-20,strength,romanian_deadlift,1,80,8,2,
2026-06-20,strength,romanian_deadlift,2,80,7,1,
2026-06-20,strength,romanian_deadlift,3,80,6,0,
2026-06-20,strength,barbell_curl,1,30,11,2,
2026-06-20,strength,barbell_curl,2,30,10,1,
2026-06-20,strength,triceps_pushdown,1,27.5,12,2,
2026-06-20,strength,triceps_pushdown,2,27.5,11,1,
2026-06-22,strength,incline_chest_press_machine,1,55,10,2,
2026-06-22,strength,incline_chest_press_machine,2,55,9,1,
2026-06-22,strength,incline_chest_press_machine,3,55,8,0,
2026-06-22,strength,standing_chest_press_machine,1,60,10,2,
2026-06-22,strength,standing_chest_press_machine,2,60,9,1,
2026-06-22,strength,standing_chest_press_machine,3,60,8,0,
2026-06-22,strength,lateral_raise_machine,1,30,14,2,
2026-06-22,strength,lateral_raise_machine,2,30,13,1,
2026-06-22,strength,lateral_raise_machine,3,30,12,1,
2026-06-22,strength,dip_machine,1,45,12,2,
2026-06-22,strength,dip_machine,2,45,11,1,
2026-06-22,strength,overhead_triceps_machine,1,35,12,2,
2026-06-22,strength,overhead_triceps_machine,2,35,11,1,
2026-06-24,strength,romanian_deadlift,1,80,9,2,
2026-06-24,strength,romanian_deadlift,2,80,7,1,
2026-06-24,strength,romanian_deadlift,3,80,7,0,
2026-06-24,strength,hanging_leg_raise,1,0,12,2,
2026-06-24,strength,hanging_leg_raise,2,0,11,1,
2026-06-24,strength,hanging_leg_raise,3,0,10,1,
2026-06-24,strength,lateral_raise,1,10,14,2,
2026-06-24,strength,lateral_raise,2,10,13,1,
2026-06-24,strength,lateral_raise,3,10,12,0,
2026-06-24,strength,chest_supported_row,1,55,10,2,
2026-06-24,strength,chest_supported_row,2,55,9,1,
2026-06-25,strength,bench_press,1,75,8,2,
2026-06-25,strength,bench_press,2,75,7,1,
2026-06-25,strength,bench_press,3,75,6,0,
2026-06-25,strength,pullup,1,0,7,2,
2026-06-25,strength,pullup,2,0,6,1,
2026-06-25,strength,pullup,3,0,5,0,
2026-06-25,strength,triceps_pushdown,1,27.5,13,2,
2026-06-25,strength,triceps_pushdown,2,27.5,11,1,
2026-06-25,strength,barbell_curl,1,30,11,2,
2026-06-25,strength,barbell_curl,2,30,10,1,
2026-06-26,strength,overhead_press,1,45,7,2,
2026-06-26,strength,overhead_press,2,45,6,1,
2026-06-26,strength,overhead_press,3,45,5,1,
2026-06-26,strength,lateral_raise,1,10,15,2,
2026-06-26,strength,lateral_raise,2,10,14,1,
2026-06-26,strength,lateral_raise,3,10,13,0,
2026-06-26,strength,face_pull,1,22.5,15,2,
2026-06-26,strength,face_pull,2,22.5,13,1,
2026-06-26,strength,face_pull,3,22.5,13,1,
2026-06-26,strength,hanging_leg_raise,1,0,12,2,
2026-06-26,strength,hanging_leg_raise,2,0,11,1,
2026-06-27,strength,chest_supported_row,1,55,10,2,
2026-06-27,strength,chest_supported_row,2,55,9,1,
2026-06-27,strength,chest_supported_row,3,55,8,0,
2026-06-27,strength,romanian_deadlift,1,80,9,2,
2026-06-27,strength,romanian_deadlift,2,80,8,1,
2026-06-27,strength,romanian_deadlift,3,80,7,0,
2026-06-27,strength,barbell_curl,1,30,12,2,
2026-06-27,strength,barbell_curl,2,30,10,1,
2026-06-27,strength,triceps_pushdown,1,27.5,13,2,
2026-06-27,strength,triceps_pushdown,2,27.5,12,1,
2026-06-28,strength,bench_press,1,75,8,2,
2026-06-28,strength,bench_press,2,75,7,1,
2026-06-28,strength,bench_press,3,75,6,0,
2026-06-28,strength,pullup,1,0,7,2,
2026-06-28,strength,pullup,2,0,6,1,
2026-06-28,strength,pullup,3,0,5,0,
2026-06-28,strength,lateral_raise,1,10,15,2,
2026-06-28,strength,lateral_raise,2,10,14,1,
2026-06-28,strength,lateral_raise,3,10,13,0,
2026-06-28,strength,face_pull,1,22.5,15,2,
2026-06-28,strength,face_pull,2,22.5,14,1,
2026-06-29,strength,incline_chest_press_machine,1,55,10,2,
2026-06-29,strength,incline_chest_press_machine,2,55,9,1,
2026-06-29,strength,incline_chest_press_machine,3,55,8,1,
2026-06-29,strength,standing_chest_press_machine,1,60,10,2,
2026-06-29,strength,standing_chest_press_machine,2,60,9,1,
2026-06-29,strength,standing_chest_press_machine,3,60,8,0,
2026-06-29,strength,lateral_raise_machine,1,30,14,2,
2026-06-29,strength,lateral_raise_machine,2,30,13,1,
2026-06-29,strength,lateral_raise_machine,3,30,12,1,
2026-06-29,strength,dip_machine,1,45,12,2,
2026-06-29,strength,dip_machine,2,45,11,1,
2026-06-29,strength,overhead_triceps_machine,1,35,12,2,
2026-06-29,strength,overhead_triceps_machine,2,35,11,1,
2026-06-30,strength,pullup,1,0,8,2,
2026-06-30,strength,pullup,2,0,7,1,
2026-06-30,strength,pullup,3,0,6,0,
2026-06-30,strength,overhead_press,1,45,8,2,
2026-06-30,strength,overhead_press,2,45,7,1,
2026-06-30,strength,overhead_press,3,45,6,0,
2026-06-30,strength,face_pull,1,22.5,15,2,
2026-06-30,strength,face_pull,2,22.5,14,1,
2026-06-30,strength,face_pull,3,22.5,13,1,
2026-06-30,strength,barbell_curl,1,30,12,2,
2026-06-30,strength,barbell_curl,2,30,11,1,
2026-07-01,strength,romanian_deadlift,1,80,9,2,
2026-07-01,strength,romanian_deadlift,2,80,8,1,
2026-07-01,strength,romanian_deadlift,3,80,7,0,
2026-07-01,strength,hanging_leg_raise,1,0,12,2,
2026-07-01,strength,hanging_leg_raise,2,0,11,1,
2026-07-01,strength,hanging_leg_raise,3,0,10,0,
2026-07-01,strength,lateral_raise,1,10,15,2,
2026-07-01,strength,lateral_raise,2,10,14,1,
2026-07-01,strength,lateral_raise,3,10,13,0,
2026-07-01,strength,chest_supported_row,1,55,11,2,
2026-07-01,strength,chest_supported_row,2,55,9,1,
2026-07-02,strength,bench_press,1,75,8,2,
2026-07-02,strength,bench_press,2,75,7,1,
2026-07-02,strength,bench_press,3,75,6,0,
2026-07-02,strength,pullup,1,0,8,2,
2026-07-02,strength,pullup,2,0,7,1,
2026-07-02,strength,pullup,3,0,6,0,
2026-07-02,strength,triceps_pushdown,1,27.5,13,2,
2026-07-02,strength,triceps_pushdown,2,27.5,12,1,
2026-07-02,strength,barbell_curl,1,30,12,2,
2026-07-02,strength,barbell_curl,2,30,11,1,
2026-07-03,strength,overhead_press,1,45,8,2,
2026-07-03,strength,overhead_press,2,45,7,1,
2026-07-03,strength,overhead_press,3,45,6,0,
2026-07-03,strength,lateral_raise,1,10,15,2,
2026-07-03,strength,lateral_raise,2,10,14,1,
2026-07-03,strength,lateral_raise,3,10,13,0,
2026-07-03,strength,face_pull,1,22.5,15,2,
2026-07-03,strength,face_pull,2,22.5,14,1,
2026-07-03,strength,face_pull,3,22.5,13,0,
2026-07-03,strength,hanging_leg_raise,1,0,13,2,
2026-07-03,strength,hanging_leg_raise,2,0,11,1,
2026-07-04,strength,chest_supported_row,1,55,11,2,
2026-07-04,strength,chest_supported_row,2,55,10,1,
2026-07-04,strength,chest_supported_row,3,55,9,0,
2026-07-04,strength,romanian_deadlift,1,80,9,2,
2026-07-04,strength,romanian_deadlift,2,80,8,1,
2026-07-04,strength,romanian_deadlift,3,80,7,0,
2026-07-04,strength,barbell_curl,1,30,12,2,
2026-07-04,strength,barbell_curl,2,30,11,1,
2026-07-04,strength,triceps_pushdown,1,27.5,13,2,
2026-07-04,strength,triceps_pushdown,2,27.5,12,1,
2026-07-05,strength,bench_press,1,75,8,2,
2026-07-05,strength,bench_press,2,75,7,1,
2026-07-05,strength,bench_press,3,75,6,1,
2026-07-05,strength,pullup,1,0,8,2,
2026-07-05,strength,pullup,2,0,7,1,
2026-07-05,strength,pullup,3,0,6,0,
2026-07-05,strength,lateral_raise,1,10,15,2,
2026-07-05,strength,lateral_raise,2,10,14,1,
2026-07-05,strength,lateral_raise,3,10,13,0,
2026-07-05,strength,face_pull,1,22.5,15,2,
2026-07-05,strength,face_pull,2,22.5,14,1,
2026-07-06,strength,incline_chest_press_machine,1,55,10,2,
2026-07-06,strength,incline_chest_press_machine,2,55,9,1,
2026-07-06,strength,incline_chest_press_machine,3,55,8,0,
2026-07-06,strength,standing_chest_press_machine,1,60,11,2,
2026-07-06,strength,standing_chest_press_machine,2,60,10,1,
2026-07-06,strength,standing_chest_press_machine,3,60,9,0,
2026-07-06,strength,lateral_raise_machine,1,30,14,2,
2026-07-06,strength,lateral_raise_machine,2,30,13,1,
2026-07-06,strength,lateral_raise_machine,3,30,12,0,
2026-07-06,strength,dip_machine,1,45,12,2,
2026-07-06,strength,dip_machine,2,45,11,1,
2026-07-06,strength,overhead_triceps_machine,1,35,12,2,
2026-07-06,strength,overhead_triceps_machine,2,35,11,1,
2026-07-07,strength,pullup,1,0,8,2,
2026-07-07,strength,pullup,2,0,7,1,
2026-07-07,strength,pullup,3,0,6,1,
2026-07-07,strength,overhead_press,1,45,8,2,
2026-07-07,strength,overhead_press,2,45,7,1,
2026-07-07,strength,overhead_press,3,45,6,0,
2026-07-07,strength,face_pull,1,22.5,16,2,
2026-07-07,strength,face_pull,2,22.5,15,1,
2026-07-07,strength,face_pull,3,22.5,14,0,
2026-07-07,strength,barbell_curl,1,30,12,2,
2026-07-07,strength,barbell_curl,2,30,11,1,
2026-07-08,strength,romanian_deadlift,1,80,9,2,
2026-07-08,strength,romanian_deadlift,2,80,8,1,
2026-07-08,strength,romanian_deadlift,3,80,7,1,
2026-07-08,strength,hanging_leg_raise,1,0,13,2,
2026-07-08,strength,hanging_leg_raise,2,0,11,1,
2026-07-08,strength,hanging_leg_raise,3,0,11,0,
2026-07-08,strength,lateral_raise,1,10,15,2,
2026-07-08,strength,lateral_raise,2,10,14,1,
2026-07-08,strength,lateral_raise,3,10,13,0,
2026-07-08,strength,chest_supported_row,1,55,11,2,
2026-07-08,strength,chest_supported_row,2,55,10,1,
2026-07-09,strength,bench_press,1,75,9,2,
2026-07-09,strength,bench_press,2,75,8,1,
2026-07-09,strength,bench_press,3,75,7,1,
2026-07-09,strength,pullup,1,0,9,2,
2026-07-09,strength,pullup,2,0,7,1,
2026-07-09,strength,pullup,3,0,7,0,
2026-07-09,strength,triceps_pushdown,1,27.5,13,2,
2026-07-09,strength,triceps_pushdown,2,27.5,12,1,
2026-07-09,strength,barbell_curl,1,30,12,2,
2026-07-09,strength,barbell_curl,2,30,11,1,
2026-07-10,strength,overhead_press,1,45,8,2,
2026-07-10,strength,overhead_press,2,45,7,1,
2026-07-10,strength,overhead_press,3,45,6,0,
2026-07-10,strength,lateral_raise,1,10,15,2,
2026-07-10,strength,lateral_raise,2,10,14,1,
2026-07-10,strength,lateral_raise,3,10,13,0,
2026-07-10,strength,face_pull,1,22.5,16,2,
2026-07-10,strength,face_pull,2,22.5,15,1,
2026-07-10,strength,face_pull,3,22.5,14,0,
2026-07-10,strength,hanging_leg_raise,1,0,13,2,
2026-07-10,strength,hanging_leg_raise,2,0,12,1,
2026-07-11,strength,chest_supported_row,1,55,11,2,
2026-07-11,strength,chest_supported_row,2,55,10,1,
2026-07-11,strength,chest_supported_row,3,55,9,0,
2026-07-11,strength,romanian_deadlift,1,80,9,2,
2026-07-11,strength,romanian_deadlift,2,80,8,1,
2026-07-11,strength,romanian_deadlift,3,80,7,0,
2026-07-11,strength,barbell_curl,1,30,12,2,
2026-07-11,strength,barbell_curl,2,30,11,1,
2026-07-11,strength,triceps_pushdown,1,27.5,13,2,
2026-07-11,strength,triceps_pushdown,2,27.5,12,1,
2026-07-12,strength,bench_press,1,75,9,2,
2026-07-12,strength,bench_press,2,75,8,1,
2026-07-12,strength,bench_press,3,75,7,0,
2026-07-12,strength,pullup,1,0,9,2,
2026-07-12,strength,pullup,2,0,8,1,
2026-07-12,strength,pullup,3,0,7,0,
2026-07-12,strength,lateral_raise,1,10,15,2,
2026-07-12,strength,lateral_raise,2,10,14,1,
2026-07-12,strength,lateral_raise,3,10,13,0,
2026-07-12,strength,face_pull,1,22.5,16,2,
2026-07-12,strength,face_pull,2,22.5,15,1,
2026-07-13,strength,incline_chest_press_machine,1,55,11,2,
2026-07-13,strength,incline_chest_press_machine,2,55,10,1,
2026-07-13,strength,incline_chest_press_machine,3,55,9,0,
2026-07-13,strength,standing_chest_press_machine,1,60,11,2,
2026-07-13,strength,standing_chest_press_machine,2,60,10,1,
2026-07-13,strength,standing_chest_press_machine,3,60,9,0,
2026-07-13,strength,lateral_raise_machine,1,30,15,2,
2026-07-13,strength,lateral_raise_machine,2,30,14,1,
2026-07-13,strength,lateral_raise_machine,3,30,13,1,
2026-07-13,strength,dip_machine,1,45,12,2,
2026-07-13,strength,dip_machine,2,45,11,1,
2026-07-13,strength,overhead_triceps_machine,1,35,12,2,
2026-07-13,strength,overhead_triceps_machine,2,35,11,1,
2026-07-14,strength,pullup,1,0,9,2,
2026-07-14,strength,pullup,2,0,8,1,
2026-07-14,strength,pullup,3,0,7,0,
2026-07-14,strength,overhead_press,1,45,8,2,
2026-07-14,strength,overhead_press,2,45,7,1,
2026-07-14,strength,overhead_press,3,45,6,0,
2026-07-14,strength,face_pull,1,22.5,16,2,
2026-07-14,strength,face_pull,2,22.5,15,1,
2026-07-14,strength,face_pull,3,22.5,14,0,
2026-07-14,strength,barbell_curl,1,30,12,2,
2026-07-14,strength,barbell_curl,2,30,12,2,
2026-07-15,strength,romanian_deadlift,1,80,9,2,
2026-07-15,strength,romanian_deadlift,2,80,8,1,
2026-07-15,strength,romanian_deadlift,3,80,7,0,
2026-07-15,strength,hanging_leg_raise,1,0,13,2,
2026-07-15,strength,hanging_leg_raise,2,0,12,1,
2026-07-15,strength,hanging_leg_raise,3,0,11,0,
2026-07-15,strength,lateral_raise,1,10,16,2,
2026-07-15,strength,lateral_raise,2,10,15,1,
2026-07-15,strength,lateral_raise,3,10,14,0,
2026-07-15,strength,chest_supported_row,1,55,12,2,
2026-07-15,strength,chest_supported_row,2,55,10,1,
2026-07-16,strength,bench_press,1,75,7,2,bad session
2026-07-16,strength,bench_press,2,75,5,0,
2026-07-16,strength,bench_press,3,75,5,0,
2026-07-16,strength,pullup,1,0,7,2,bad session
2026-07-16,strength,pullup,2,0,6,1,
2026-07-16,strength,pullup,3,0,5,0,
2026-07-16,strength,triceps_pushdown,1,27.5,11,2,bad session
2026-07-16,strength,triceps_pushdown,2,27.5,10,1,
2026-07-16,strength,barbell_curl,1,32.5,9,2,bad session
2026-07-16,strength,barbell_curl,2,32.5,8,1,
2026-07-17,strength,overhead_press,1,45,8,2,
2026-07-17,strength,overhead_press,2,45,7,1,
2026-07-17,strength,overhead_press,3,45,6,1,
2026-07-17,strength,lateral_raise,1,10,16,2,
2026-07-17,strength,lateral_raise,2,10,15,1,
2026-07-17,strength,lateral_raise,3,10,14,0,
2026-07-17,strength,face_pull,1,22.5,16,2,
2026-07-17,strength,face_pull,2,22.5,15,1,
2026-07-17,strength,face_pull,3,22.5,14,0,
2026-07-17,strength,hanging_leg_raise,1,0,13,2,
2026-07-17,strength,hanging_leg_raise,2,0,12,1,
2026-07-18,strength,chest_supported_row,1,55,12,2,
2026-07-18,strength,chest_supported_row,2,55,11,1,
2026-07-18,strength,chest_supported_row,3,55,10,0,
2026-07-18,strength,romanian_deadlift,1,80,10,2,
2026-07-18,strength,romanian_deadlift,2,80,9,1,
2026-07-18,strength,romanian_deadlift,3,80,8,1,
2026-07-18,strength,barbell_curl,1,32.5,12,2,
2026-07-18,strength,barbell_curl,2,32.5,11,1,
2026-07-18,strength,triceps_pushdown,1,27.5,14,2,
2026-07-18,strength,triceps_pushdown,2,27.5,13,1,
2026-07-19,strength,bench_press,1,67.5,10,2,
2026-07-19,strength,bench_press,2,67.5,10,1,
2026-07-19,strength,bench_press,3,67.5,9,0,
2026-07-19,strength,pullup,1,0,9,2,
2026-07-19,strength,pullup,2,0,8,1,
2026-07-19,strength,pullup,3,0,7,0,
2026-07-19,strength,lateral_raise,1,10,16,2,
2026-07-19,strength,lateral_raise,2,10,15,1,
2026-07-19,strength,lateral_raise,3,10,14,0,
2026-07-19,strength,face_pull,1,22.5,17,2,
2026-07-19,strength,face_pull,2,22.5,15,1,
2026-07-20,strength,incline_chest_press_machine,1,55,10,2,
2026-07-20,strength,incline_chest_press_machine,2,55,9,1,
2026-07-20,strength,incline_chest_press_machine,3,55,8,0,
2026-07-20,strength,standing_chest_press_machine,1,60,10,2,
2026-07-20,strength,standing_chest_press_machine,2,60,9,1,
2026-07-20,strength,standing_chest_press_machine,3,60,8,0,
2026-07-20,strength,lateral_raise_machine,1,30,14,2,
2026-07-20,strength,lateral_raise_machine,2,30,13,1,
2026-07-20,strength,lateral_raise_machine,3,30,12,0,
2026-07-20,strength,dip_machine,1,45,12,2,
2026-07-20,strength,dip_machine,2,45,11,1,
2026-07-20,strength,overhead_triceps_machine,1,35,12,2,
2026-07-20,strength,overhead_triceps_machine,2,35,11,1,
2026-07-21,strength,pullup,1,0,9,2,
2026-07-21,strength,pullup,2,0,8,1,
2026-07-21,strength,pullup,3,0,7,0,
2026-07-21,strength,overhead_press,1,45,8,2,
2026-07-21,strength,overhead_press,2,45,7,1,
2026-07-21,strength,overhead_press,3,45,6,0,
2026-07-21,strength,face_pull,1,22.5,16,2,
2026-07-21,strength,face_pull,2,22.5,15,1,
2026-07-21,strength,face_pull,3,22.5,14,0,
2026-07-21,strength,barbell_curl,1,32.5,12,2,
2026-07-21,strength,barbell_curl,2,32.5,10,1,
2026-07-22,strength,romanian_deadlift,1,80,9,2,
2026-07-22,strength,romanian_deadlift,2,80,8,1,
2026-07-22,strength,romanian_deadlift,3,80,7,1,
2026-07-22,strength,hanging_leg_raise,1,0,13,2,
2026-07-22,strength,hanging_leg_raise,2,0,12,1,
2026-07-22,strength,hanging_leg_raise,3,0,11,0,
2026-07-22,strength,lateral_raise,1,10,15,2,
2026-07-22,strength,lateral_raise,2,10,14,1,
2026-07-22,strength,lateral_raise,3,10,13,1,
2026-07-22,strength,chest_supported_row,1,55,11,2,
2026-07-22,strength,chest_supported_row,2,55,10,1,
2026-07-23,strength,bench_press,1,67.5,10,2,
2026-07-23,strength,bench_press,2,67.5,9,1,
2026-07-23,strength,bench_press,3,67.5,8,0,
2026-07-23,strength,pullup,1,0,8,2,
2026-07-23,strength,pullup,2,0,7,1,
2026-07-23,strength,pullup,3,0,6,0,
2026-07-23,strength,triceps_pushdown,1,27.5,13,2,
2026-07-23,strength,triceps_pushdown,2,27.5,12,1,
2026-07-23,strength,barbell_curl,1,32.5,11,2,
2026-07-23,strength,barbell_curl,2,32.5,10,1,
2026-07-24,strength,overhead_press,1,45,7,2,
2026-07-24,strength,overhead_press,2,45,6,1,
2026-07-24,strength,overhead_press,3,45,5,0,
2026-07-24,strength,lateral_raise,1,10,15,2,
2026-07-24,strength,lateral_raise,2,10,14,1,
2026-07-24,strength,lateral_raise,3,10,13,0,
2026-07-24,strength,face_pull,1,22.5,15,2,
2026-07-24,strength,face_pull,2,22.5,14,1,
2026-07-24,strength,face_pull,3,22.5,13,0,
2026-07-24,strength,hanging_leg_raise,1,0,12,2,
2026-07-24,strength,hanging_leg_raise,2,0,11,1,
2026-07-25,strength,chest_supported_row,1,55,11,2,
2026-07-25,strength,chest_supported_row,2,55,10,1,
2026-07-25,strength,chest_supported_row,3,55,9,0,
2026-07-25,strength,romanian_deadlift,1,80,8,2,
2026-07-25,strength,romanian_deadlift,2,80,7,1,
2026-07-25,strength,romanian_deadlift,3,80,6,0,
2026-07-25,strength,barbell_curl,1,32.5,11,2,
2026-07-25,strength,barbell_curl,2,32.5,10,1,
2026-07-25,strength,triceps_pushdown,1,27.5,12,2,
2026-07-25,strength,triceps_pushdown,2,27.5,11,1,
2026-07-27,strength,incline_chest_press_machine,1,55,10,2,
2026-07-27,strength,incline_chest_press_machine,2,55,9,1,
2026-07-27,strength,incline_chest_press_machine,3,55,8,0,
2026-07-27,strength,standing_chest_press_machine,1,60,10,2,
2026-07-27,strength,standing_chest_press_machine,2,60,9,1,
2026-07-27,strength,standing_chest_press_machine,3,60,8,0,
2026-07-27,strength,lateral_raise_machine,1,30,14,2,
2026-07-27,strength,lateral_raise_machine,2,30,13,1,
2026-07-27,strength,lateral_raise_machine,3,30,12,0,
2026-07-27,strength,dip_machine,1,45,12,2,
2026-07-27,strength,dip_machine,2,45,11,1,
2026-07-27,strength,overhead_triceps_machine,1,35,12,2,
2026-07-27,strength,overhead_triceps_machine,2,35,11,1,
2026-07-28,strength,pullup,1,0,9,2,
2026-07-28,strength,pullup,2,0,7,1,
2026-07-28,strength,pullup,3,0,7,0,
2026-07-28,strength,overhead_press,1,45,7,2,
2026-07-28,strength,overhead_press,2,45,6,1,
2026-07-28,strength,overhead_press,3,45,5,0,
2026-07-28,strength,face_pull,1,22.5,16,2,
2026-07-28,strength,face_pull,2,22.5,15,1,
2026-07-28,strength,face_pull,3,22.5,14,0,
2026-07-28,strength,barbell_curl,1,32.5,11,2,
2026-07-28,strength,barbell_curl,2,32.5,10,1,
